미디어타입,아티스트,장소명,장소타입,장소설명,영업시간,브레이크타임,휴무일,주소,위도,경도,전화번호,최종작성일
artist,2:00 PM,한마음행복센터,playground,준호가 그냥 사랑하는 사이를 촬영한 복지회관,매일 10시 - 19시,정보없음,연중무휴,부산광역시 서구 천마산로 370,35.097029,129.016722,051-240-6561,2022-11-18
artist,2:00 PM,아실라,restaurant,닉쿤이 방문한 프라이빗 와인바,"평일 18시 - 24시, 주말 12시 - 24시",정보없음,연중무휴,서울특별시 강남구 강남대로98길 16,37.500688,127.028069,02-508-4665,2022-11-18
artist,2:00 PM,마치래빗 샐러드 신사동가로수길본점,restaurant,준케이의 싸인 플레이트가 있는 샐러드샵,월-토 11시 - 21시,15시 30분 - 17시 30분,"일요일, 1월1일, 명절(당일)",서울특별시 강남구 논현로153길 45,37.520293,127.024517,070-4531-4514,2022-11-18
artist,2:00 PM,도쿄등심 압구정점,restaurant,멤버들이 함께 방문한 소고기 전문점,매일 11시 30분 - 22시,15시 - 17시,연중무휴,서울특별시 강남구 도산대로49길 9 스타크빌딩 3층,37.523312,127.037113,02-547-2260,2022-11-18
artist,2:00 PM,팔당닭발,restaurant,택연이 인간의 조건에서 방문한 닭발집,매일 12시 - (익일) 06시,정보없음,연중무휴,서울특별시 강남구 학동로45길 7,37.51672,127.0378039,02-546-4686,2022-11-18
artist,2:00 PM,히메시야,restaurant,닉쿤의 싸인이 있는 홍대 일식당,매일 11시 40분 - 21시 30분,15시 - 16시 40분,연중무휴,서울특별시 마포구 독막로15길 3-18,37.548639,126.921276,070-8245-4562,2022-11-18
artist,2:00 PM,김사또상수본점,restaurant,준케이의 싸인이 있는 떡볶이집,목-화 11시 30분 - 22시,정보없음,수요일,서울특별시 마포구 서강동 와우산로 39,37.547983,126.922831,02-325-6362,2022-11-18
artist,2:00 PM,도쿄등심 롯데캐슬잠실점,restaurant,닉쿤의 싸인 플레이트가 있는 소고기 전문점,매일 11시 30분 - 22시,15시 - 17시,연중무휴,서울특별시 송파구 올림픽로 269,37.5142852,127.100694,02-2146-2266,2022-11-18
artist,2:00 PM,카페후암동,cafe,택연이 방문한 후암동 커피 맛집,수-월 09시 - 22시 30분,정보없음,화요일,서울특별시 용산구 후암동 후암로 33,37.548701,126.97755,0507-1311-8232,2022-11-18
artist,2:00 PM,감고당길,playground,택연이 인터랙티브 무비 안녕을 촬영한 곳,매일 00시 - 24시,정보없음,연중무휴,서울특별시 종로구 율곡로3길,37.577861,126.982358,02-2148-5066,2022-11-18
artist,2:00 PM,호박식당 약수본점,restaurant,멤버들이 함께 방문한 소갈비 맛집,매일 10시 - 23시,정보없음,연중무휴,서울특별시 중구 다산로 154,37.557271,127.01231,02-2233-7905,2022-11-18
artist,2:00 PM,카페 누구나꽃,cafe,준호가 휴가중 방문한 카페,화-일 10시 - 18시,정보없음,월요일,인천광역시 강화군 불은면 덕진로 89,37.651568,126.517667,032-937-0500,2022-11-18
artist,2:00 PM,대흘리에,stay,택연이 방문한 제주 풀빌라 펜션,"매일 입실 16시, 퇴실 11시",정보없음,연중무휴,제주특별자치도 제주시 조천읍 함선로 250,33.511016,126.68306,,2022-11-18
artist,강다니엘,카페마리오,cafe,강다니엘이 다녀간 전망 좋은 가평 카페,매일 10시 - 21시,정보없음,연중무휴,경기도 가평군 가평읍 상지로 693,37.751219,127.495397,070-7778-2759,2022-11-18
artist,강다니엘,한국민속촌,playground,강다니엘 트래블로그 EP.5에서 방문한 장소,매일 10시 - 18시,정보없음,연중무휴,경기도 용인시 기흥구 민속촌로 90,37.260092,127.12036,031-288-0000,2022-11-18
artist,강다니엘,도날드 떡볶이,restaurant,강다니엘이 즐겨 먹은 떡볶이,월-토 11시 30분 - 20시,정보없음,일요일,부산광역시 영도구 남항새싹길9,35.084824,129.042922,051-413-9990,2022-11-18
artist,강다니엘,흰여울문화마을,playground,강다니엘의 영도 투어 추천 장소,매일 00시 - 24시,정보없음,연중무휴,부산광역시 영도구 영선동4가 605-3,35.078284,129.045318,051-419-4067,2022-11-18
artist,강다니엘,태종대,playground,강다니엘의 영도투어 추천 장소,"하절기 매일 04시 - 24시, 동절기 매일 05시 - 24시",정보없음,연중무휴,부산광역시 영도구 전망로 24,35.052886,129.0872,051-405-8745,2022-11-18
artist,강다니엘,달뜨네,restaurant,모교 선생님과 함께 식사를 한 곳,수-월 17시 - 22시,정보없음,화요일,부산광역시 영도구 절영로 205,35.0794042,129.0449779,051-418-2212,2022-11-18
artist,강다니엘,영도대교,playground,강다니엘의 픽한 영도투어 중 한 곳,도개시간 매일 14시 - 14시 15분,정보없음,연중무휴,부산광역시 영도구 중앙동7가,35.095539,129.036477,051-419-5501,2022-11-18
artist,강다니엘,남포수제비,restaurant,강다니엘이 추천한 남포동의 수제비 전문점,매일 09시 30분 - 21시 30분,정보없음,연중무휴,부산광역시 중구 광복로49번길 7-1 2층,35.099883,129.030525,051-245-6821,2022-11-18
artist,강다니엘,이재모피자,restaurant,강다니엘이 추천한 남포동의 피자 맛집,월-토 11시 - 21시 30분,정보없음,일요일,부산광역시 중구 광복중앙로 31,35.102083,129.030812,051-245-1478,2022-11-18
artist,강다니엘,꽁블라썸,store,강다니엘이 어머니께 드린 수국 꽃다발 구매한 곳,"평일 11시 30분 - 19시, 토 12시 - 17시 30분",정보없음,일요일,부산광역시 중구 동광길 28 아코디언 동상옆,35.103952,129.034545,0507-1308-0282,2022-11-18
artist,강다니엘,영천영화 청담점,restaurant,강다니엘이 작사가 김이나와 우연히 만났던 곳,매일 00시 - 24시,정보없음,연중무휴,서울특별시 강남구 도산대로90길 3 상민빌딩,37.523959,127.04957,02-3442-0381,2022-11-18
artist,강다니엘,카페드커넥트,cafe,강다니엘이 압구정에 오픈한 카페,화-일 10시 30분 - 20시,정보없음,월요일,서울특별시 강남구 언주로159길 7,37.524287,127.032241,02-6952-1620,2022-11-18
artist,강다니엘,월화고기 상암 직영1호점,restaurant,강다니엘이 워너원과 함께 간 고기집,매일 16시 - 23시,주말만 15시 - 16시,연중무휴,서울특별시 마포구 매봉산로2안길 12-6 1층,37.578064,126.894397,02-305-7592,2022-11-18
artist,강다니엘,영동족발 본점,restaurant,강다니엘이 즐겨 먹는 유명한 족발집,"평일 12시 - 23시, 토 11시 30분 - 22시, 일 11시 30분 - 21시",정보없음,연중무휴,서울특별시 서초구 남부순환로358길 8,37.484533,127.037993,02-571-3939,2022-11-18
artist,강다니엘,센토리,playground,V-LIVE에서 강다니엘이 다니티 디퓨저를 만든 곳,평일 09시 30분 - 18시 30분,정보없음,주말,서울특별시 서초구 신반포로49길 12 하늘정원빌딩,37.511468,127.020251,070-4466-6123,2022-11-18
artist,강다니엘,마봉 양꼬치 용산점,restaurant,강다니엘이 방문한 용산의 양꼬치 식당,"평일 15시 30분 - 24시, 주말 14시 30분 - 24시",정보없음,연중무휴,서울특별시 용산구 새창로 209,37.530635,126.967008,0507-1443-0789,2022-11-18
artist,강다니엘,커피프렌즈촬영지,cafe,강다니엘이 커피프렌즈에서 알바하던 카페,월-토 10시 - 19시,정보없음,일요일,제주특별자치도 서귀포시 안덕면 중산간서로 2026,33.28848,126.306966,064-794-9891,2022-11-18
artist,강다니엘,재게재게옵서 cafe,cafe,이불밖은 위험해에서 강다니엘이 간 카페,매일 08시 30분 - 15시,정보없음,연중무휴,제주특별자치도 제주시 한림읍 비양도길 32-3,33.405246,126.228268,,2022-11-18
artist,개리,칭하이,restaurant,개리와 런닝맨 멤버들이 극찬한 해물철판짜장 맛집,화-일 11시 - 21시 30분,15시 - 17시,월요일,경기도 성남시 중원구 성남대로 1149 2층 칭하이,37.432232,127.126479,031-733-5015,2022-11-18
artist,개리,아미스타,cafe,개리가 런닝맨 촬영 당시 방문한 베이커리 카페,매일 10시 - 22시,정보없음,연중무휴,경기도 수원시 영통구 센트럴파크로127번길 80-3,37.294206,127.049392,031-215-3084,2022-11-18
artist,개리,맛나반점,restaurant,개리가 먹고 스트레스를 풀고 간 매운 짬뽕 맛집,"월-목,토 10시 30분 - 20시, 일 10시 30분 - 19시",정보없음,금요일,경기도 파주시 파주읍 충현로 25,37.849275,126.791105,031-952-7737,2022-11-18
artist,개리,트리하우스,stay,개리와 아들 하오가 찾은 트리하우스 펜션,"매일 입실 15시, 퇴실 11시 30분",정보없음,연중무휴,경기도 평택시 진위면 삼봉로 442-15,37.093768,127.101074,031-666-3097,2022-11-18
artist,개리,더페이머스버거 신사점,restaurant,개리네 가족이 방문한 수제버거 맛집,매일 11시 30분 - 21시 30분,정보없음,연중무휴,서울특별시 강남구 도산대로 113 1층,37.516969,127.020837,02-6012-0811,2022-11-18
artist,개리,카멜커피 도산공원점,cafe,개리가 아내와 데이트한 레트로 감성 카페,매일 10시 - 21시,정보없음,연중무휴,서울특별시 강남구 도산대로45길 16-8,37.523608,127.035952,,2022-11-18
artist,개리,호화반점,restaurant,개리가 다이어트 중에도 방문한 맛있는 중식당,매일 12시 - 21시,정보없음,연중무휴,서울특별시 강남구 선릉로161길 5 1-2층,37.527684,127.037304,02-543-8543,2022-11-18
artist,개리,압구정하루,restaurant,개리가 먹고 추천한 돈가스 맛집,매일 11시 30분 - 21시 40분,15시 50분 - 17시,연중무휴,서울특별시 강남구 언주로172길 56,37.536919,126.982588,02-514-5557,2022-11-18
artist,개리,중경소면관,restaurant,개리가 아들 하오와 먹고 감탄한 중식 맛집,매일 09시 - 22시,정보없음,연중무휴,서울특별시 광진구 아차산로30길 42,37.539025,127.064723,02-462-7712,2022-11-18
artist,개리,버튼업 바 앤 키친,restaurant,개리가 방문한 합정 파스타 맛집,화-일 11시 30분 - 22시,화-토 15시 - 17시,월요일,서울특별시 마포구 토정로 53-9,37.545646,126.914464,0507-1307-1643,2022-11-18
artist,개리,아리수 한정식,restaurant,개리와 런닝맨 멤버들이 회식한 한정식 맛집,매일 11시 30분 - 21시 30분,정보없음,연중무휴,서울특별시 양천구 목동서로 213,37.527969,126.87054,02-2646-2800,2022-11-18
artist,개리,바다식당,restaurant,개리가 감탄하고 간 이색적인 부대찌개 맛집,매일 11시 30분 - 22시,정보없음,"1, 3, 5번째 월요일",서울특별시 용산구 이태원로 245 2층,37.536882,126.997909,02-795-1317,2022-11-18
artist,걸스데이,매짜리토박이,restaurant,걸스데이 혜리가 찾은 제주식 해장국 맛집,"평일 10시 - 20시, 토 09시 - 16시",평일만 15시 30분 - 17시,일요일,경기도 광주시 오포읍 매자리길 94-32 1층,37.352565,127.253521,031-761-0530,2022-11-18
artist,걸스데이,보수동 책방 골목,playground,민아가 부산여행 브이로그중 들린 장소,매일 00시 - 24시,정보없음,연중무휴,부산광역시 중구 대청로 67-1,35.10332,129.026803,051-244-9668,2022-11-18
artist,걸스데이,미술공방 남포본점,restaurant,걸스데이 유라가 부산 촬영 중 찾은 곱창 맛집,매일 16시 - 24시,정보없음,연중무휴,부산광역시 중구 중구로29번길 17-1 1층,35.100373,129.024733,0507-1308-5692,2022-11-18
artist,걸스데이,삐아프,cafe,혜리의 브이로그중 무심결에 들어간 초콜릿 집,월-토 12시 30분 - 19시 30분,정보없음,일요일,서울특별시 강남구 논현로175길 109 1층,37.521516,127.020741,02-545-0317,2022-11-18
artist,걸스데이,솔빈덕,restaurant,유라가 출연한 테이스티로드에서 나온 핫도그집,월-토 18시 - (익일) 05시 30분,정보없음,일요일,서울특별시 강남구 도산대로51길 40,37.525666,127.038263,,2022-11-18
artist,걸스데이,카페 노티드 청담,cafe,걸스데이 혜리가 유튜브에서 극찬한 도넛 맛집,매일 09시 - 21시,정보없음,연중무휴,서울특별시 강남구 도산대로53길 15 1층,37.5241508,127.0382334,0507-1426-9399,2022-11-18
artist,걸스데이,도산맘마미아,cafe,걸스데이 혜리가 로제와 방문한 카페,매일 10시 - 23시,정보없음,연중무휴,서울특별시 강남구 압구정로42길 45,37.5259001,127.03462,02-511-0620,2022-11-18
artist,걸스데이,버터풀앤크리멀러스,cafe,걸스데이 혜리가 좋아하는 크루아상이 맛있는 카페,화-일 11시 - 19시,정보없음,월요일,서울특별시 강남구 언주로172길 59 1층,37.526936,127.036455,02-518-2223,2022-11-18
artist,걸스데이,해몽,restaurant,걸스데이 혜리가 인정한 등갈비 맛집,월-토 17시 - 24시,정보없음,일요일,서울특별시 강남구 학동로41길 32,37.518086,127.036365,02-515-6080,2022-11-18
artist,걸스데이,베란다컵케익,cafe,걸스데이 혜리가 컵케익을 먹고 반한 카페,매일 12시 - 22시,정보없음,연중무휴,서울특별시 마포구 동교로38길 27-14,37.56195,126.92618,02-6498-9939,2022-11-18
artist,걸스데이,도요스6가,restaurant,걸스데이 혜리가 방문한 송리단길 카이센동 맛집,"평일 11시 - 20시 30분, 주말 11시 - 21시",14시 30분 - 17시,연중무휴,서울특별시 송파구 백제고분로45길 40 트윈레이크팰리스 1층,37.510981,127.105226,02-416-6802,2022-11-18
artist,걸스데이,스시준,restaurant,걸스데이 혜리가 먹고 감탄한 일식당,"평일 11시 30분 - 22시, 토 11시 30분 - 21시",평일만 15시 - 16시 30분,일요일,서울특별시 송파구 올림픽로35다길 32 지하1층,37.514905,127.099976,02-419-0627,2022-11-18
artist,걸스데이,DONO,restaurant,걸스데이 혜리가 찾은 피자가 맛있는 곳,매일 12시 - 22시,"평일 15시 - 17시, 주말 15시 - 16시",연중무휴,서울특별시 용산구 이태원로54길 63,37.535681,126.999024,0507-1443-0502,2022-11-18
artist,걸스데이,동굴과화로구이,restaurant,걸스데이 혜리가 먹고 감동한 돼지갈비 맛집,매일 11시 30분 - 22시,14시 30분 - 17시,연중무휴,서울특별시 은평구 은평로 185,37.48282,126.979343,02-353-8592,2022-11-18
artist,걸스데이,카페 다연,cafe,걸스데이 민아가 힐링하고 간 카페,금-수 10시 - 22시,정보없음,목요일,인천광역시 계양구 하느재로5번길 1 1층 102호,37.543888,126.722578,,2022-11-18
artist,걸스데이,오목골 즉석메밀우동,restaurant,걸스데이 민아가 자주 찾는 계란말이 김밥 맛집,매일 00시 - 24시,정보없음,연중무휴,인천광역시 미추홀구 석정로 142,37.468225,126.648732,032-868-1717,2022-11-18
artist,걸스데이,중화루,restaurant,걸스데이 혜리가 인생짜장으로 꼽은 중식당,매일 11시 - 21시,평일만 15시 30분 - 17시,연중무휴,인천광역시 중구 홍예문로 12,37.471767,126.621568,032-762-0231,2022-11-18
artist,걸스데이,메이즈랜드,playground,한번만 안아줘` 뮤비 촬영 장소,매일 09시 - 18시,정보없음,연중무휴,제주특별자치도 제주시 구좌읍 비자림로 2134-47,33.488697,126.800866,064-784-3838,2022-11-18
artist,걸스데이,피어 22,restaurant,걸스데이 유라와 소진이 소개한 제주도 숨은 맛집,수-월 11시 - 21시,15시 30분 - 17시,화요일,제주특별자치도 제주시 한림읍 금능7길 22 금능리어촌계복지회관 1층,33.389939,126.225689,064-796-7787,2022-11-18
artist,골든차일드,테라로사 커피공장 강릉본점,cafe,"대열, 장준이 일일 바리스타로 팬들에게 대접한 곳",매일 09시 - 21시,정보없음,연중무휴,강원도 강릉시 구정면 현철길 25,37.6960542,128.8918879,033-648-2760,2022-11-18
artist,골든차일드,정은숙초당순두부,restaurant,"대열, 장준이 감탄하며 먹었던 초당순두부집","월 08시 - 16시, 수-일 08시 - 18시 30분",정보없음,화요일,강원도 강릉시 난설헌로 200,37.790728,128.9119821,0507-1424-3696,2022-11-18
artist,골든차일드,강릉컬링센터,playground,"성종, 우현이와 대열, 장준이 컬링을 대결한 곳",화-일 11시 - 17시 (월별상이. 블로그 참고),정보없음,월요일,강원도 강릉시 종합운동장길 32,37.773759,128.892451,033-647-8688,2022-11-18
artist,골든차일드,강문해변,playground,"강원도 배틀 투어에서 대열, 장준이 간 해변",매일 00시 - 24시,정보없음,연중무휴,강원도 강릉시 창해로350번길 5,37.79663,128.917612,033-640-4920,2022-11-18
artist,골든차일드,정선아리랑시장,playground,"대열, 장준, Y가 시장 먹거리를 먹은 곳","평일 09시 - 18일, 토 09시 - 18시, 매월 2, 7, 12, 17, 22일 마다 5일장, 매주 토 주말장 열림",정보없음,연중무휴,강원도 정선군 정선읍 5일장길 36,37.380441,128.665164,033-563-6200,2022-11-18
artist,골든차일드,남이섬,playground,"2017 울림픽` 대열, 장준, Y가 2가지 방법으로 들어간 섬",매일 08시 - 21시,정보없음,연중무휴,강원도 춘천시 남산면 남이섬길 1,37.789935,127.52581,0507-1311-8114,2022-11-18
artist,골든차일드,섬향기,restaurant,"2017 울림픽` 대열, 장준, Y가 먹은 남이섬에 있는 닭갈비 집",매일 10시 30분 - 19시 30분,정보없음,연중무휴,강원도 춘천시 남산면 남이섬길 1,37.790815,127.525187,031-580-8054,2022-11-18
artist,골든차일드,황태회관,restaurant,"대열, 장준, Y가 먹은 황태로 유명한 황태 맛집",매일 06시 - 23시,정보없음,연중무휴,강원도 평창군 대관령면 눈마을길 19,37.6698745,128.7098617,033-335-5795,2022-11-18
artist,골든차일드,대관령 양떼목장,playground,"대열, 장준, Y가 양들도 보고 초원에 뛰놀던 곳","1-2월,11-12월 매일 09시 - 17시, 3월,10월 매일 09시 - 17시 30분, 4월,9월 매일 09시 - 18시, 5-8월 매일 09시 - 18시 30분",정보없음,연중무휴,강원도 평창군 대관령면 대관령마루길 483-32,37.689736,128.753045,033-335-1966,2022-11-18
artist,골든차일드,알펜시아,stay,"대열, 장준, Y가 일정이 끝나고 자러 간 숙소","매일 입실 15시, 퇴실 11시",정보없음,연중무휴,강원도 평창군 대관령면 솔봉로 325,37.654397,128.671795,033-339-0000,2022-11-18
artist,골든차일드,알펜시아 스키점프 센터,playground,"대열, 장준, Y가 스키점프대에서 사진 찍은 곳",수-월 09시 20분 - 17시 40분,정보없음,화요일,강원도 평창군 대관령면 스포츠파크길 135,37.66299,128.682168,033-336-7766,2022-11-18
artist,골든차일드,산수명산,restaurant,"대열, 장준, Y가 먹은 산채정식이 맛있는 집",매일 09시 - 21시,정보없음,연중무휴,강원도 평창군 진부면 오대산 3길 13,37.714257,128.599781,033-333-3103,2022-11-18
artist,골든차일드,월정사,playground,"대열, 장준, Y가 템플 스테이를 했던 사찰",매일 일출 2시간전 - 일몰 전,정보없음,연중무휴,강원도 평창군 진부면 오대산로 374-8,37.731807,128.592508,033-339-6800,2022-11-18
artist,구구단,주누 돈까스 냉면,restaurant,"세정, 미나가 먹은 성남 핫플 돈가스 냉면집",월-토 11시 - 21시,정보없음,일요일,경기도 성남시 분당구 서현로210번길 14,37.386272,127.124676,031-706-7749,2022-11-18
artist,구구단,순창 떡볶이김밥,restaurant,"세정, 미나가 먹은 성남 4대 떡볶이집",월-토 11시 20분 - 22시,정보없음,일요일,경기도 성남시 수정구 산성대로 255번길 10,37.441106,127.145096,031-753-7921,2022-11-18
artist,구구단,앞산공원 전망대,playground,"세영, 나영이 간 대구 전망대","월-목 10시 30분 - 18시 30분, 금-일 10시 30분 - 20시 30분",정보없음,연중무휴,대구광역시 남구 대명동 산227-4,35.8272862,128.587654,053-625-0967,2022-11-18
artist,구구단,홍림곱창,restaurant,"세정, 나영이가 먹은 곱창 가게",매일 11시 - (익일) 02시,정보없음,"2, 4번째 일요일",대구광역시 남구 대명로36길 58,35.837066,128.574576,053-655-5903,2022-11-18
artist,구구단,이월드,playground,"세영, 나영이가 간 대구의 랜드마크","월-목 10시 30분 - 21시, 금-일 10시 - 22시",정보없음,연중무휴,대구광역시 달서구 두류공원로 200,35.853468,128.563918,053-620-0001,2022-11-18
artist,구구단,디아크 문화관,playground,"세정, 나영이 봤던 예술 건축물","지하1층-2층 화-토 10시 - 17시 50분, 1-3층 하절기 10시 - 23시, 1-3층 동절기 10시 - 22시",정보없음,월요일,대구광역시 달성군 다사읍 강정본길 57,35.838438,128.468464,053-585-0916,2022-11-18
artist,구구단,전동매니아 2호점,playground,"세정, 나영이 탔던 LED 카트 빌렸던 곳",매일 00시 - 24시,정보없음,연중무휴,대구광역시 달성군 다사읍 대실역남로 3길 3,35.850717,128.467785,,2022-11-18
artist,구구단,김광석 다시 그리기길,playground,"세영, 나영이 간 고 김광석 벽화거리",매일 00시 - 24시,정보없음,연중무휴,대구광역시 중구 동덕로8길 34-20,35.859919,128.606594,053-661-3312,2022-11-18
artist,구구단,진골목,playground,"세정, 나영이 대구에서 갔던 긴 골목",매일 00시 - 24시,정보없음,연중무휴,대구광역시 중구 중앙대로 403,35.868663,128.592812,053-661-3305,2022-11-18
artist,구구단,미도다방,cafe,"세정, 나영이 간 우리나라에서 가장 오래된 다방",매일 09시 30분 - 22시,정보없음,연중무휴,대구광역시 중구 진골목길 14,35.8680689,128.592691,053-252-9999,2022-11-18
artist,구구단,솜이네떡볶이,restaurant,"하나, 세정이가 먹은 즉석 떡볶이집",평일 11시 30분 - 20시,정보없음,주말,서울특별시 중구 퇴계로42길 36,37.5601352,126.9963869,02-2285-2468,2022-11-18
artist,구구단,광양 서천변,playground,미나가 광양 강변에 산책을 한 곳,매일 00시 - 24시,정보없음,연중무휴,전라남도 광양시 광양읍 서천변로 261,34.978805,127.5728,061-797-2629,2022-11-18
artist,구구단,순천만 국가정원,playground,미나가 순천에서 봄꽃 축제로 간 곳,매일 08시30분 - 19시 (시기별 상이),정보없음,연중무휴,전라남도 순천시 국가정원1호길 47,34.929045,127.498897,1577-2013,2022-11-18
artist,구구단,빨간오뎅,restaurant,미나가 먹은 순천의 숨은 떡볶이 맛집,화-일 09시 30분 - 21시,정보없음,월요일,전라남도 순천시 북부시장길 5,34.9593672,127.4850966,061-753-0119,2022-11-18
artist,구구단,순천드라마촬영장,playground,미나가 순천에서 과거로 시간여행한 곳,매일 09시 - 18시,정보없음,연중무휴,전라남도 순천시 비례골길 24,34.957729,127.53832,061-749-4003,2022-11-18
artist,구구단,베니스 랜드,playground,구구단 프로젝트 극단적인 수학여행 4회에 나온 곳,매일 09시 - 18시,정보없음,연중무휴,제주특별자치도 서귀포시 성산읍 난산리 2575,33.416209,126.84091,064-784-6565,2022-11-18
artist,구구단,여미지 식물원,playground,구구단 프로젝트 극단적인 수학여행 4회에 나온 곳,매일 09시 - 18시,정보없음,연중무휴,제주특별자치도 서귀포시 중문관광로 93,33.252753,126.414438,064-735-1100,2022-11-18
artist,구구단,김녕미로공원,playground,구구단 프로젝트 극단적인 수학여행 4회에 나온 곳,매일 09시 - 17시 50분,정보없음,연중무휴,제주특별자치도 제주시 구좌읍 만장굴길 122,33.536511,126.772334,064-782-9266,2022-11-18
artist,구구단,제주양떼목장,playground,구구단 프로젝트 극단적인 수학여행 3회에 나온 곳,화-일 10시 - 18시,정보없음,월요일,제주특별자치도 제주시 애월읍 도치돌길 289-13,33.411226,126.365274,064-799-7346,2022-11-18
artist,그레이,미앙,restaurant,그레이가 자주 방문하는 태국 음식점,"평일 11시 30분 - 21시 30분, 주말 11시 30분 - 21시","평일 14시 40분 - 17시 30분, 주말 14시 40분 - 17시",연중무휴,서울특별시 강남구 논현로 854 안다즈호텔 지하 1층,37.525488,127.02892,02-546-5566,2022-11-18
artist,그레이,더페이머스버거 신사점,restaurant,그레이가 방문한 로꼬가 운영하는 수제버거 맛집,매일 11시 30분 - 21시 30분,정보없음,연중무휴,서울특별시 강남구 도산대로 113 1층,37.516969,127.020837,02-6012-0811,2022-11-18
artist,그레이,도쿄등심 압구정점,restaurant,그레이와 박재범이 같이 방문한 소고기 전문점,매일 11시 30분 - 22시,15시 - 17시,연중무휴,서울특별시 강남구 도산대로49길 9 스타크빌딩 3층,37.523312,127.037113,02-547-2260,2022-11-18
artist,그레이,야키토리 쿠이신보,restaurant,그레이와 이동건이 같이 방문한 일식당,"화-목 17시 30분 - 24시, 금-토 17시 30분 - (익일) 01시",정보없음,"월요일, 일요일",서울특별시 강남구 도산대로55길 40,37.526067,127.041081,02-3445-9215,2022-11-18
artist,그레이,도라지 위스키,restaurant,그레이가 방문한 압구정 라운지바,화-일 18시 - 22시,정보없음,월요일,서울특별시 강남구 선릉로155길 11,37.525329,127.038789,070-8844-8825,2022-11-18
artist,그레이,너마늘 안동갈비 & 요술꼬치,restaurant,그레이가 방문한 정준하가 운영하는 꼬치집,"요술꼬치 매일 18시 - (익일) 02시, 안동갈비 매일 16시 - (익일) 02시",정보없음,연중무휴,서울특별시 강남구 선릉로157길 26,37.526298,127.037793,02-543-9289,2022-11-18
artist,그레이,카페 디올,cafe,그레이가 에어 디올 홍보 사진을 촬영한 카페,"월-토 11시 - 20시, 일요일 11시 - 19시",정보없음,연중무휴,서울특별시 강남구 청담동 압구정로 464 하우스 오브 디올 5F,37.524805,127.046873,02-513-0390,2022-11-18
artist,그레이,유진치킨 홍제점,restaurant,그레이와 우원재가 같이 방문한 치킨집,매일 13시 - 24시,정보없음,"1, 3번째 월요일",서울특별시 서대문구 세무서7길 13,37.5914212,126.9460607,02-394-9300,2022-11-18
artist,그레이,고기두목,restaurant,그레이가 술을 마신 돼지고기 맛집,매일 16시 30분 - (익일) 02시,정보없음,연중무휴,서울특별시 서초구 잠원동 신반포로47길 87,37.514181,127.018593,02-512-3692,2022-11-18
artist,그레이,제스티살룬 성수,restaurant,그레이가 방문한 서울숲 수제버거 맛집,화-일 11시 30분 - 21시,정보없음,월요일,서울특별시 성동구 서울숲4길 13 1층,37.547499,127.042485,0507-1371-2622,2022-11-18
